"address";"value"
"dM25Km95r1vFw88yjwiuorjKoaGJyByLdk";"2666.59300724"
"dPs4kzMY9NbMBfu8mA5TYAwhnnge9Weh65";"2600.00000001"
"dHZZM7XTiPecqPNEbX2oaPGtqgVDrEnKFt";"2599.45836814"
"dUP5tTQctW65f96jAUiW8oUPxyzAfGDb4v";"2586.61164437"
"dTvgZLHHgU5tCQEnh6nxo4ZSRz9YqTjh3R";"2560.76890748"
"dXwrgaSgEQ8emWw4CAnYmyBtGLqnaYh4cS";"2517.17477201"
"dUojJDSv9fCMjAp1nFDSyZSSXqgJ8UV3DD";"2445.31829507"
"dSmZbeok8F6kPUb6SiU2UPMyWN9NrG1aNB";"2406.96340876"
"dVcpCniHXYbkxpHhHKj9K9HQw8sqVuqK6z";"2406.79686351"
"dWSVXLQGWpcGZ2qtCrD4uqLpo7z2M1Q9Nb";"2384.0030445"
"dEYuB6ouYmrEd6Cevox58riEEPQ11ak2u1";"2370.08549815"
"dcT2HXCHBTkfTUZ9r5A5RuVn5k3zRzUSWQ";"2332.1371835"
"dM6HwZ92VP7yDkTyhHhAPwqAfmPZWJNegd";"2324.71289151"
"dcbDZpqjkhGjANTAHeqca3i8wfD14bWwr1";"2253.51717801"
"dNH8Bsk16yFdGs6AtBjrDnma76ZAuNnxQJ";"2246.77646404"
"dHdKurDjref1pcxyD4TkTJRrJw7bbZSQ9P";"2241.82800001"
"dLSEkKTn4vQ1aNQ5JZunVXs6ixnCtjtfRD";"2211.22240601"
"dKY1fLfbmsxidJ9deJsxpQsaJKegdDkeyx";"2174.17327765"
"dRjjdR5yqAsRZLekg4owhdJHPSPj9PMZbK";"2170.00000001"
"dQghrJeJWWBBkuT4ZBZeqMmzFaw3pvgxqR";"2167.95987001"
"dTNtQhxArArE31TDMQce98Bf2zvH8eUszi";"2156.67692911"
"dW3uKNRVh2yqTaZqFzbbBBDAtzLFNbE58d";"2104.38195853"
"dXCEzTzURx2EQeeek3k4fByjt79C4LXggy";"2100.00000001"
"dVdsFWPKQE5jT5aDgr73Lfn4JKf2Qo5edc";"2013.31438036"
